,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Is old
2749,I,0.505,0.385,0.125,0.596,0.245,0.097,0.21,young
42,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,old
2164,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,young
3253,M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,old
1173,M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,young
3483,I,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,young
1619,I,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,young
3902,F,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,old
2803,M,0.65,0.52,0.155,1.368,0.6185,0.288,0.365,young
1833,I,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,young
568,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,old
3588,M,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,young
2560,I,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,young
4159,I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,young
732,M,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,old
3998,I,0.36,0.27,0.09,0.2075,0.098,0.039,0.062,young
4132,I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,young
2061,M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,young
1404,F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,young
618,M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,young
3810,F,0.52,0.375,0.135,0.5375,0.221,0.117,0.17,young
973,F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,young
1916,F,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,young
2705,M,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,young
691,M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,young
1455,I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,young
2868,I,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,young
3689,I,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,young
2091,M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,old
3384,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,old
1414,M,0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,old
681,I,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,young
626,F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,old
4039,I,0.55,0.445,0.125,0.672,0.288,0.1365,0.21,young
3734,M,0.605,0.455,0.16,1.1215,0.533,0.273,0.271,young
3779,I,0.59,0.45,0.125,0.86,0.437,0.1515,0.245,young
3100,M,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,young
3939,F,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,young
2807,F,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,young
3827,F,0.68,0.52,0.185,1.541,0.5985,0.395,0.4575,young
3735,M,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,young
2785,M,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,young
948,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,young
2760,F,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,young
137,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,young
4036,I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,young
654,M,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,young
2157,M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,old
2742,I,0.46,0.35,0.1,0.471,0.252,0.077,0.123,young
465,I,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,young
2627,I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,young
65,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,young
1004,M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,young
2583,M,0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,young
3993,M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,young
4020,M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,young
1849,I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,young
3994,M,0.72,0.6,0.235,2.2385,0.984,0.411,0.621,old
815,I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,young
207,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,young
59,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,young
2802,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,young
3265,F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,old
3551,M,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,young
2765,I,0.55,0.465,0.15,0.936,0.481,0.174,0.2435,young
3244,F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,old
1337,M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,young
1822,F,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,young
647,M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,young
303,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,young
115,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,young
3467,M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,young
1982,F,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,old
1399,M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,young
3957,F,0.515,0.395,0.14,0.686,0.281,0.1255,0.22,old
2688,M,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,young
3944,M,0.55,0.45,0.175,1.0985,0.3765,0.215,0.4,old
925,I,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,young
2085,F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,old
252,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,old
3188,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,young
3615,M,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,young
712,M,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,young
3202,F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,young
2203,M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,old
2889,I,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,young
3690,F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,young
834,I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,young
2941,M,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,young
4041,F,0.575,0.45,0.12,0.9585,0.447,0.169,0.275,old
3510,F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,young
2725,I,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,young
101,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,young
3173,F,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,young
1458,F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,young
846,M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,young
1445,I,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,young
4174,M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,young
3217,M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,old
996,M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,young
3370,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37,old
188,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,young
2671,M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,young
2996,M,0.61,0.485,0.17,1.281,0.597,0.3035,0.33,young
3103,M,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,young
1384,F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,old
916,I,0.375,0.28,0.09,0.215,0.084,0.06,0.055,young
1109,I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,young
1116,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,young
134,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,young
4130,I,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,young
3874,I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,young
3332,F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,young
2343,I,0.255,0.185,0.07,0.075,0.028,0.018,0.025,young
1059,I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,young
395,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,young
876,M,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,old
429,F,0.56,0.455,0.125,0.943,0.344,0.129,0.375,old
2232,F,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,young
2348,M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,young
3770,F,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,young
2832,M,0.535,0.405,0.14,0.818,0.402,0.1715,0.189,young
1315,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,young
2142,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,young
1848,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,young
2306,F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,old
616,M,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,old
184,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,young
1860,I,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,young
387,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,old
3873,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,young
2186,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,young
3000,F,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,young
3683,M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,young
265,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,young
114,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,young
1001,F,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,young
2151,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,young
4091,M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,young
1713,F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,young
3209,I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,young
1016,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,young
3281,M,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,old
1462,M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,young
2369,F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,old
1785,M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,young
893,I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,young
220,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,young
3710,M,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,young
3847,I,0.37,0.275,0.085,0.2045,0.096,0.056,0.08,young
3434,I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,young
3120,F,0.525,0.4,0.135,0.714,0.318,0.138,0.208,young
2419,F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,old
3748,I,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,young
1379,F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,young
4146,M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,young
3907,M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,young
2562,I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,young
2197,I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,young
1405,F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,young
1903,M,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,young
3593,M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,young
923,I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,young
2690,M,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,young
2188,M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,old
1187,F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,old
2012,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,young
769,F,0.55,0.43,0.155,0.785,0.289,0.227,0.233,young
3056,F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,young
3924,M,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,old
4001,I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,young
2780,M,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,young
875,F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,young
988,M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,young
1293,I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,young
3412,I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,young
2601,F,0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315,young
2215,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,young
307,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,young
1121,M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,young
2391,F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,old
2913,I,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,young
3172,M,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,old
2481,F,0.52,0.425,0.145,0.7,0.207,0.1905,0.24,old
3935,I,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,young
2062,F,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,young
1407,F,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,young
957,M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,young
3051,M,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,old
4161,F,0.585,0.475,0.165,1.053,0.458,0.217,0.3,young
1644,F,0.58,0.435,0.15,0.834,0.428,0.1515,0.23,young
1497,M,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,young
814,I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,young
3216,F,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,young
1185,I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,young
235,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,old
1572,I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,young
2933,M,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,young
3083,F,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,young
1688,F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,young
4122,I,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,young
3301,F,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,old
689,M,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,young
2950,M,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,young
2448,I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,young
206,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,young
1625,M,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,young
2971,M,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,old
1770,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,young
2485,M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,old
3865,I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,young
2319,F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,old
1207,F,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,young
4138,M,0.63,0.505,0.155,1.105,0.492,0.226,0.325,young
3415,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,young
2881,I,0.475,0.375,0.11,0.494,0.211,0.109,0.1545,young
1733,M,0.665,0.52,0.175,1.3725,0.606,0.32,0.395,old
2686,M,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,young
1290,I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,young
2374,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,old
4070,I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,young
1637,M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,young
1599,I,0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,young
2253,F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,old
1064,I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,young
1233,I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,young
4066,I,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,young
3880,F,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,old
1436,I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,young
917,I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,young
58,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,young
3338,I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,old
2673,F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,young
1553,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,young
854,M,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,young
3193,F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,old
2997,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,young
3908,I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,old
344,F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,old
1583,I,0.5,0.375,0.14,0.559,0.2375,0.135,0.169,young
1600,I,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,young
3815,I,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,young
3044,M,0.575,0.445,0.14,0.737,0.325,0.1405,0.237,young
3464,M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,young
403,F,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,young
704,M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,old
2509,I,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,young
896,I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,young
4163,M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092,young
2561,I,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,young
530,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,young
791,F,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,young
2915,I,0.59,0.46,0.125,0.755,0.334,0.15,0.238,young
239,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,young
1353,M,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,young
707,M,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,young
2925,M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,young
2125,M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,young
2504,I,0.3,0.23,0.075,0.127,0.052,0.03,0.0345,young
4077,I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,young
1798,I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,young
2672,F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,young
2508,I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,young
2367,M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,old
3760,M,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,young
960,M,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,young
228,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,young
807,I,0.28,0.205,0.07,0.1015,0.041,0.03,0.03,young
937,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,young
2245,I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,young
3693,M,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36,young
1801,M,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.343,young
246,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,young
186,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,old
2550,I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,young
3274,F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,old
990,M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,young
2144,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,young
418,M,0.63,0.515,0.165,1.352,0.488,0.349,0.45,old
2044,I,0.395,0.295,0.1,0.293,0.14,0.062,0.082,young
1260,I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,young
2458,I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,young
3276,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,old
1673,F,0.61,0.475,0.16,1.1155,0.3835,0.223,0.379,young
1999,I,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,young
1671,F,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,old
3717,I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,young
693,F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,young
956,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,young
328,M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,old
3541,I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,young
3460,M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,young
493,F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,young
1643,M,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,old
2363,F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,old
3842,M,0.5,0.42,0.125,0.62,0.255,0.15,0.205,young
3210,I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,old
2888,I,0.51,0.4,0.145,0.5775,0.231,0.143,0.177,young
1754,M,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,young
3179,M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,young
1250,I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,young
664,F,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,old
2646,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,young
945,F,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,young
190,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,young
2722,I,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,young
2416,M,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,young
2280,M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,young
3567,M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,young
3507,M,0.625,0.47,0.175,1.179,0.605,0.258,0.271,young
2728,I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,young
1103,M,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,young
717,I,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,young
3228,F,0.45,0.35,0.135,0.56,0.231,0.137,0.145,old
178,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,young
118,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,young
1188,M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,young
800,F,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,young
2097,M,0.5,0.39,0.145,0.651,0.273,0.132,0.22,young
3221,M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,young
141,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,young
1441,I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,young
2145,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,young
208,I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,young
431,F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,old
1041,M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,young
2429,F,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,young
1422,F,0.72,0.575,0.17,1.9335,0.913,0.389,0.51,old
584,I,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,old
